,SPX Index,cash,total,benchmark
2013-02-14,170394.56,946.6200000000536,171341.18000000005,178697.16379809874
2013-02-15,170216.47999999998,946.6200000000536,171163.10000000003,178510.40671542447
2013-02-19,171465.28,946.6200000000536,172411.90000000005,179820.05543983838
2013-02-20,169338.4,946.6200000000536,170285.02000000005,177589.54160337025
2013-02-21,168271.04,946.6200000000536,169217.66000000006,176470.17368017166
2013-02-22,169747.19999999998,946.6200000000536,170693.82000000004,178018.26069252816
2013-02-25,166639.19999999998,946.6200000000536,167585.82000000004,174758.82104208105
2013-02-26,167657.28,946.6200000000536,168603.90000000005,175826.50776001133
2013-02-27,169790.88,946.6200000000536,170737.50000000006,178064.0690335615
2013-02-28,169644.16,946.6200000000536,170590.78000000006,177910.19999060346
2013-03-01,-170038.4,341023.42000000004,170985.02000000005,178323.64963275025
2013-03-04,-170822.4,341023.42000000004,170201.02000000005,179145.85062565585
2013-03-05,-172456.47999999998,341023.42000000004,168566.94000000006,180859.55240944048
2013-03-06,-172643.52000000002,341023.42000000004,168379.90000000002,181055.70607489083
2013-03-07,166780.08,1286.2200000000303,168066.30000000002,181384.58647205305
2013-03-08,167527.44,1286.2200000000303,168813.66000000003,182197.39088218258
2013-03-11,168071.76,1286.2200000000303,169357.98000000004,182789.3755970746
2013-03-12,167667.84,1286.2200000000303,168954.06000000003,182350.08535229362
2013-03-13,167888.16,1286.2200000000303,169174.38000000003,182589.69821308323
2013-03-14,168828.84,1286.2200000000303,170115.06000000003,183612.7511628272
2013-03-15,168555.6,1286.2200000000303,169841.82000000004,183315.58423253417
2013-03-18,167626.8,1286.2200000000303,168913.02000000002,182305.4515841073
2013-03-19,167220.72,1286.2200000000303,168506.94000000003,181863.8121936323
2013-03-20,168340.68,1286.2200000000303,169626.90000000002,183081.84423597957
2013-03-21,166946.4,1286.2200000000303,168232.62000000002,181565.47069049225
2013-03-22,168144.12000000002,1286.2200000000303,169430.34000000005,182868.0719778241
2013-03-25,167582.52000000002,1286.2200000000303,168868.74000000005,182257.29409737996
2013-03-26,168887.16,1286.2200000000303,170173.38000000003,183676.17809656556
2013-03-27,168787.8,1286.2200000000303,170074.02000000002,183568.1173946408
2013-03-28,169472.52000000002,1286.2200000000303,170758.74000000005,184312.79657964388
2013-04-01,168714.36000000002,1286.2200000000303,170000.58000000005,183488.2464410443
2013-04-02,169587.0,1286.2200000000303,170873.22000000003,184437.30130142672
2013-04-03,167798.52000000002,1286.2200000000303,169084.74000000005,182492.20866678152
2013-04-04,168477.84,1286.2200000000303,169764.06000000003,183231.01498754954
2013-04-05,167754.24,1286.2200000000303,169040.46000000002,182444.0511800542
2013-04-08,168811.56,1286.2200000000303,170097.78000000003,183593.95799727502
2013-04-09,169409.87999999998,1286.2200000000303,170696.1,184244.67135451743
2013-04-10,171474.84,1286.2200000000303,172761.06000000003,186490.45463799668
2013-04-11,172083.96,1286.2200000000303,173370.18000000002,187152.91372370918
2013-04-12,171595.8,1286.2200000000303,172882.02000000002,186622.0067968616
2013-04-15,167654.87999999998,1286.2200000000303,168941.1,182335.9904781295
2013-04-16,170053.56,1286.2200000000303,171339.78000000003,184944.7167713342
2013-04-17,167617.08,1286.2200000000303,168903.30000000002,182294.8804284842
2013-04-18,166493.87999999998,1286.2200000000303,167780.1,181073.3246675959
2013-04-19,167967.0,1286.2200000000303,169253.22000000003,182675.4420309148
2013-04-22,168750.0,1286.2200000000303,170036.22000000003,183527.00734499557
2013-04-23,170508.24,1286.2200000000303,171794.46000000002,185439.21193992457
2013-04-24,170509.32,1286.2200000000303,171795.54000000004,185440.38651277157
2013-04-25,-171197.28,343680.78,172483.50000000003,186188.58941631566
2013-04-26,-170881.92,343680.78,172798.86000000002,185845.61414498932
2013-04-29,170516.27,1054.6300000000629,171570.90000000005,187181.10347203736
2013-04-30,170939.99,1054.6300000000629,171994.62000000005,187646.23431945252
2013-05-01,169348.9,1054.6300000000629,170403.53000000006,185899.64449595168
2013-05-02,170942.13,1054.6300000000629,171996.76000000007,187648.5834651465
2013-05-03,172742.94,1054.6300000000629,173797.57000000007,189625.38956666095
2013-05-06,173072.5,1054.6300000000629,174127.13000000006,189987.1580035394
2013-05-07,173977.72,1054.6300000000629,175032.35000000006,190980.84663210815
2013-05-08,174697.83000000002,1054.6300000000629,175752.46000000008,191771.33415814448
2013-05-09,174053.69,1054.6300000000629,175108.32000000007,191064.2413042457
2013-05-10,174805.9,1054.6300000000629,175860.53000000006,191889.9660156923
2013-05-13,174813.38999999998,1054.6300000000629,175868.02000000005,191898.18802562138
2013-05-14,176586.38,1054.6300000000629,177641.01000000007,193844.45523311358
2013-05-15,177489.46,1054.6300000000629,178544.09000000005,194835.7947159883
2013-05-16,176600.29,1054.6300000000629,177654.92000000007,193859.7246801247
2013-05-17,178419.29,1054.6300000000629,179473.92000000007,195856.49852003827
2013-05-20,178293.03,1054.6300000000629,179347.66000000006,195717.8989240913
2013-05-21,178600.12,1054.6300000000629,179654.75000000006,196055.00133118263
2013-05-22,177122.44999999998,1054.6300000000629,178177.08000000005,194432.9162294646
2013-05-23,176604.57,1054.6300000000629,177659.20000000007,193864.42297151277
2013-05-24,176507.19999999998,1054.6300000000629,177561.83000000005,193757.53684243505
2013-05-28,177626.41999999998,1054.6300000000629,178681.05000000005,194986.1400404054
2013-05-29,176374.52,1054.6300000000629,177429.15000000005,193611.88980940604
2013-05-30,177021.87,1054.6300000000629,178076.50000000006,194322.50638184586
2013-05-31,174489.18,1054.6300000000629,175543.81000000006,191542.292452978
2013-06-03,175524.94,1054.6300000000629,176579.57000000007,192679.27896888173
2013-06-04,174557.66,1054.6300000000629,175612.29000000007,191617.46511518653
2013-06-05,-172152.30000000002,345359.2300000001,173206.93000000008,188977.02535511262
2013-06-06,-173613.91999999998,345359.2300000001,171745.3100000001,190581.4918641255
2013-06-07,-175841.66,345359.2300000001,169517.5700000001,193026.95253159612
2013-06-10,-175780.66999999998,345359.2300000001,169578.5600000001,192960.00187931664
2013-06-11,-173995.91,345359.2300000001,171363.3200000001,191000.81437050735
2013-06-12,-172539.63999999998,345359.2300000001,172819.5900000001,189402.22072572948
2013-06-13,-175090.52,345359.2300000001,170268.7100000001,192202.4023929965
2013-06-14,-174060.11000000002,345359.2300000001,171299.12000000008,191071.28874132785
2013-06-17,-175377.28,345359.2300000001,169981.9500000001,192517.18791599467
2013-06-18,-176743.66999999998,345359.2300000001,168615.5600000001,194017.11744162385
2013-06-19,-174295.51,345359.2300000001,171063.7200000001,191329.6947676696
2013-06-20,-169936.33000000002,345359.2300000001,175422.90000000008,186544.48498895913
2013-06-21,-170390.01,345359.2300000001,174969.2200000001,187042.50387609052
2013-06-24,-168320.63,345359.2300000001,177038.6000000001,184770.87998997708
2013-06-25,-169919.21,345359.2300000001,175440.0200000001,186525.691823407
2013-06-26,-171548.82,345359.2300000001,173810.4100000001,188314.56626940015
2013-06-27,-172612.4,345359.2300000001,172746.8300000001,189482.0916793261
2013-06-28,-171871.96,345359.2300000001,173487.2700000001,188669.2872691966
2013-07-01,-172800.72,345359.2300000001,172558.5100000001,189688.81650039952
2013-07-02,-172706.56,345359.2300000001,172652.6700000001,189585.45408986282
2013-07-03,-172848.87,345359.2300000001,172510.3600000001,189741.6722785149
2013-07-05,-174612.23,345359.2300000001,170747.0000000001,191677.36833038402
2013-07-08,-175529.22,345359.2300000001,169830.0100000001,192683.97726026986
